w,h,p
0.19267664809371965,0.45421114652142414,0.5589097791323154
0.1974911943571166,0.27655921781380033,0.5837056939956036
0.17436315748009626,0.2792029372504974,0.39143270358827853
0.12187441411304012,0.3030984696588507,0.23520659058080315
0.2427151595487178,0.28726520649825993,0.4539759088575834
0.23698738495915095,0.43667220309005605,0.5019254119887382
0.2119002487358871,0.38588971546466744,0.3088054960313619
0.1886983931086989,0.22817655679485535,0.3931119709203718
0.16345247094405524,0.2969060339362863,0.38660426475168774
0.1692159808578555,0.4629317422625512,0.28052025244388235
0.2158699621921381,0.4524343253186853,0.422017464221511
0.12169382781491608,0.17923308370011992,0.21252996501739405
0.22789809306963232,0.474015238858554,0.38782431343682483
0.10577805545693769,0.2656265754792632,0.24173790398574133
0.1803968461993244,0.32318633651043177,0.28823679883744063
0.21059428568951538,0.4131476881840275,0.5552304360657849
0.08134541962422685,0.41671171482730396,0.2550166938656139
0.24685876229505405,0.34092028796943447,0.4271816616066869
0.14885496094425082,0.11780418698784098,0.425293877380138
0.13659134849390264,0.4361911518223126,0.40369566916988053
0.1659201202902111,0.3285497698394657,0.4688477716169664
0.24216842248089815,0.4966310293122629,0.49124489053771
0.16679107097560764,0.48009701150636963,0.46988764606286537
0.2253964553326106,0.4279797674776039,0.3524157430532482
0.21657316801192378,0.2359135418802829,0.38534055738633644
0.15375036724220803,0.21745887355938395,0.44985184646469834
0.20793590587148286,0.17973367058416578,0.5691441199360365
0.16471628509705738,0.4552164276905274,0.2874629545976838
0.14351287835453094,0.49147275149637426,0.2425609503018672
0.2118699986851258,0.26054984727918895,0.3961128941405666
0.13214927627737635,0.29214537594685797,0.2778355587762273
0.19483052160579106,0.17138539489558274,0.42160248879935003
0.2435019458090772,0.3078685166132662,0.5788210087847547
0.1778542576793119,0.399683098800949,0.2751683311097852
0.21385443592526987,0.3348467234121809,0.3151921609115417
0.1208131233131563,0.49197746016262,0.29478343106668337
0.23972302458344275,0.4155515238778894,0.48474669645796153
0.23156036848091616,0.36002642142808106,0.48879803711648806
0.21330258803573432,0.43599225743411607,0.31089955767456157
0.18699010816724665,0.4730398121794819,0.3570166575804358
0.21393573651520986,0.46428069555615636,0.4288971914297339
0.1731474048002558,0.2682146600601294,0.302145927391289
0.14223470891702567,0.1590332390605822,0.4079366824036146
0.15968223831830922,0.28618628660497514,0.3570329509458871
0.19303089162726234,0.2521457006277136,0.4375586740901507
0.2231865893094923,0.477221553569079,0.4479458097605694
0.21960874112927042,0.38152206679221157,0.5304522642796206
0.17128230683878665,0.33493270770081296,0.2842849524547731
0.16339162068727986,0.3493879405905352,0.4086374855864985
0.0942449495559214,0.4885460801198528,0.2097829788253603
0.13570495281006192,0.3544659247188895,0.26107874277177723
0.09555678595587705,0.26521499167825924,0.24954779280795497
0.21254182746813888,0.19399313814474187,0.3714075180532902
0.24322551445945134,0.24009800458784034,0.3635072422260305
0.12475795694748582,0.3802119238757523,0.40963900086995264
0.1562199944637696,0.28930926002727086,0.49687941041426603
0.19631984359697469,0.43453994463973333,0.5914052725199228
0.2068027178751634,0.29463978831665516,0.3433563960437134
0.17476004922051885,0.16581882793935873,0.2851556287440241
0.14730439593351163,0.12927763924610514,0.3275842656266736
0.16870471569136317,0.28379762709154843,0.3499020733759173
0.23132570557075843,0.1950712071100261,0.46092436147376314
0.08281147130565558,0.2138603488843962,0.2166403056064628
0.12318936286050933,0.16162283593160753,0.2909460987948462
0.14590307641899103,0.23013267359316517,0.2924207561073918
0.17664206401122923,0.2465948424382072,0.47036045972748497
0.16687694733127345,0.26395298810141166,0.5004930811128594
0.09983834170283531,0.1637287536982741,0.22485970854563783
0.16811224888243465,0.4627022220579674,0.5262352921820977
0.20976876338993894,0.2352867340475387,0.5012095374961354
0.1429194288291022,0.3065619887488491,0.3241548570591394
0.24099304477751904,0.27809022129021005,0.46312571671601305
0.14623385309926346,0.18144108374688483,0.27993266507400416
0.20496098543232372,0.15787005383666414,0.44483885216844676
0.21325547151459084,0.40535727366522434,0.36497394511166253
0.21783414826365727,0.499800203644413,0.44066961064212484
0.1772030193024388,0.27866059584808556,0.3804882152420161
0.20790866485319998,0.41424187822367997,0.3362145530688791
0.23816119012807885,0.25175474679082877,0.527116739193942
0.24353949818762993,0.3963131910620936,0.3835290634003007
0.1517078088712681,0.33053329123050085,0.25886684204144395
0.20941617994305872,0.44140563819914125,0.5133379360115309
0.20166127609263973,0.337794448713702,0.36538209433981633
0.148957164593217,0.11525986650275714,0.36380104309038763
0.19314219886256484,0.3012722425362045,0.5346859650883236
0.15733502240927322,0.2514232328923456,0.30705257260381424
0.15217457540114765,0.2185473416945993,0.3878856250548186
0.24482407664238087,0.3925573027647894,0.4127848434609055
0.09549770756023632,0.21246208605998856,0.23185504556812372
0.09971987548942604,0.17919545604182968,0.24238065619760013
0.21658976272072883,0.1971702840493313,0.5056075809902298
0.19192675309317775,0.18184775806586448,0.4786869724170342
0.23977947151945028,0.2240681892754716,0.43850893196330565
0.22198330413912448,0.35148935822463423,0.5490923292229322
0.1801047584171967,0.253183367135255,0.3598708924638364
0.08862809506440666,0.21573761125805344,0.2444900227377823
0.19895017361581463,0.4888873981910845,0.3209004383831472
0.24782769233373464,0.48168294047681415,0.5266336523683518
0.2002843514116306,0.2230222518009899,0.5685247327559493
0.09957762936952069,0.19325309482401565,0.2700443637449748
0.19729094279425718,0.42865696997824976,0.46929572498261135
0.2078083331211097,0.11175998501980541,0.5941722247610852
0.23441368504946408,0.22012714701955116,0.38466478336127474
0.18713720207287388,0.3247611917790983,0.3238020213842001
0.16836777544383807,0.3953175147300175,0.24078982571573446
0.14542581143986322,0.28543934971693125,0.2394878066383693
0.18084983286576678,0.24249921213947492,0.36886368360759314
0.1903549399593209,0.3844708291088882,0.3929682657799564
0.23937945900139002,0.4259660679221695,0.4660698647184165
0.19989733167755142,0.12174958931834992,0.5930494642399045
0.1605765262575866,0.232419075711444,0.27846181099956396
0.14488143390784364,0.3915075950101191,0.23120007844599083
0.1663383048412479,0.2423354867660305,0.26815118457534165
0.17125655470124068,0.27969318913389474,0.4151964660070412
0.16607118811089694,0.3272300426644029,0.3307479286867083
0.14390990202944393,0.4881899491156909,0.3857090842490507
0.13531514739204917,0.4801160686527254,0.3128370498689327
0.2026149957870108,0.37734930667907984,0.5624267584475113
0.17088828629256714,0.3645667402794184,0.2550207922040225
0.12955335272465607,0.19234784243184205,0.23332492703931834
0.06457626306520833,0.11052033639571571,0.2063809701321699
0.21557884899848967,0.38385753166601355,0.4553483938474089
0.1686244769148496,0.46463211583380915,0.3694187919781342
0.24600168160054514,0.18117829462406937,0.3611427201685621
0.13342841642868758,0.2497421759339292,0.42249556388997744
0.14333513582873703,0.14660603369289013,0.318846263303313
0.212472192803338,0.41333079384383486,0.5886472571478746
0.12776982322749664,0.16866801564494407,0.2776468040146972
0.215267359884375,0.4069650079675121,0.5962764148999444
0.23859765837944563,0.14730448422207,0.5363121690851222
0.16930658283435257,0.31763475741395086,0.26730193488079146
0.09282172167784569,0.21008153312098407,0.2766398581373369
0.18356982923213194,0.28920682331533554,0.5096596064192687
0.16349701319164,0.11373944290835299,0.2343552184528349
0.20308074003391147,0.3715275269611006,0.5636345380934165
0.1981817678416813,0.3936782754984257,0.3845879749049099
0.1624688711308166,0.4170262331997687,0.5229085883186582
0.24739916787729815,0.22607252004408213,0.5412072238438661
0.1474367148209114,0.3956922975627556,0.46449298764503955
0.18313717835700555,0.17797019228472932,0.4648379933006236
0.24105230226704588,0.10484631241069536,0.3559475948569319
0.2259017473993276,0.3861534416541429,0.5933470568151273
0.1852871179805059,0.29155688722920897,0.5456690731811739
0.12499324936063393,0.40159115490942787,0.41450009219804573
0.12945919917159227,0.21439124650063246,0.22005989805794052
0.21820852580575317,0.4290190436807705,0.4633783966451945
0.1520055994722475,0.4320126612381028,0.39339357491264154
0.21673765527322525,0.4416622717884634,0.42418545011061215
0.11435387163712463,0.33300101102210955,0.3152692812161647
0.13117413890761773,0.44587567391486194,0.4326023973318478
0.1729201986639975,0.3259212990355682,0.3124676926332297
0.19530309134473234,0.2925590414033573,0.487746180306503
0.2003270568241638,0.12828043352669463,0.4524992256079428
0.14797862095770478,0.27792725654751427,0.3223150515130569
0.12240275414511935,0.17191979657370132,0.36060051971919255
0.2036398101714582,0.4181398878230419,0.3954487521231302
